2015-03-19 00:04:03 t: 1.949539e+001, dt: 1.835867e-001, dT_cpu: 4.690e-001 s, dT_avg: 3.735e-001 s, Nc:     0, Nce:     0, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:04:08 t: 2.433883e+001, dt: 1.155100e+000, dT_cpu: 1.870e-001 s, dT_avg: 3.023e-001 s, Nc:     0, Nce:    71, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:04:13 t: 3.634496e+001, dt: 7.470594e-002, dT_cpu: 4.220e-001 s, dT_avg: 3.249e-001 s, Nc:     0, Nce:    75, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:04:19 t: 4.691713e+001, dt: 2.673194e+000, dT_cpu: 2.500e-001 s, dT_avg: 3.044e-001 s, Nc:     0, Nce:   144, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:04:24 t: 6.827314e+001, dt: 1.688617e-001, dT_cpu: 3.440e-001 s, dT_avg: 3.155e-001 s, Nc:     0, Nce:   144, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:04:29 t: 9.370189e+001, dt: 1.915240e+000, dT_cpu: 2.500e-001 s, dT_avg: 3.078e-001 s, Nc:     0, Nce:   144, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:04:34 t: 1.516349e+002, dt: 5.085286e-001, dT_cpu: 5.000e-001 s, dT_avg: 3.089e-001 s, Nc:     0, Nce:   144, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:04:40 t: 1.528457e+002, dt: 1.750384e-002, dT_cpu: 4.850e-001 s, dT_avg: 3.223e-001 s, Nc:     0, Nce:   198, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:04:45 t: 1.542932e+002, dt: 3.552988e-001, dT_cpu: 2.180e-001 s, dT_avg: 3.121e-001 s, Nc:     0, Nce:   347, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:04:50 t: 1.654389e+002, dt: 1.296645e-001, dT_cpu: 4.840e-001 s, dT_avg: 3.170e-001 s, Nc:     0, Nce:   347, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:04:55 t: 1.671118e+002, dt: 3.208758e-001, dT_cpu: 1.860e-001 s, dT_avg: 3.164e-001 s, Nc:     0, Nce:   433, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:05:00 t: 2.182841e+002, dt: 1.883654e+000, dT_cpu: 3.600e-001 s, dT_avg: 3.130e-001 s, Nc:     0, Nce:   433, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:05:05 t: 2.291767e+002, dt: 5.584163e-001, dT_cpu: 4.220e-001 s, dT_avg: 3.169e-001 s, Nc:     0, Nce:   433, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:05:10 t: 2.344750e+002, dt: 9.112838e-001, dT_cpu: 1.830e-001 s, dT_avg: 3.157e-001 s, Nc:     0, Nce:   433, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:05:16 t: 2.720049e+002, dt: 1.284583e+000, dT_cpu: 4.860e-001 s, dT_avg: 3.160e-001 s, Nc:     0, Nce:   433, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:05:21 t: 2.888973e+002, dt: 2.741747e-001, dT_cpu: 4.860e-001 s, dT_avg: 3.181e-001 s, Nc:     0, Nce:   433, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:05:26 t: 3.118495e+002, dt: 8.042926e-001, dT_cpu: 4.860e-001 s, dT_avg: 3.142e-001 s, Nc:     0, Nce:   433, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:05:31 t: 3.220973e+002, dt: 1.972579e+000, dT_cpu: 2.140e-001 s, dT_avg: 3.136e-001 s, Nc:     0, Nce:   433, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:05:37 t: 3.347147e+002, dt: 1.345568e+000, dT_cpu: 2.350e-001 s, dT_avg: 3.147e-001 s, Nc:     0, Nce:   433, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-19 00:05:42 t: 3.562631e+002, dt: 2.280024e-001, dT_cpu: 3.590e-001 s, dT_avg: 3.169e-001 s, Nc:     0, Nce:   433, Ne:     0, Nh:     0, N :    501(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:   500(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
