2015-03-12 11:50:41 t: 5.416672e+000, dt: 1.346034e+000, dT_cpu: 4.850e-001 s, dT_avg: 4.913e-001 s, Nc:     0, Nce:     0, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:50:47 t: 7.429525e+000, dt: 1.792713e-001, dT_cpu: 9.380e-001 s, dT_avg: 6.606e-001 s, Nc:     0, Nce:     0, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:50:52 t: 9.457819e+000, dt: 1.932679e-001, dT_cpu: 4.840e-001 s, dT_avg: 6.598e-001 s, Nc:     0, Nce:     0, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:50:58 t: 1.367422e+001, dt: 5.294765e-001, dT_cpu: 9.380e-001 s, dT_avg: 6.546e-001 s, Nc:     0, Nce:     0, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:51:04 t: 1.745393e+001, dt: 4.420130e-001, dT_cpu: 1.844e+000 s, dT_avg: 6.989e-001 s, Nc:     0, Nce:     1, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:51:09 t: 2.279514e+001, dt: 3.623689e-001, dT_cpu: 9.380e-001 s, dT_avg: 7.020e-001 s, Nc:     0, Nce:     1, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:51:15 t: 2.694719e+001, dt: 4.547461e-001, dT_cpu: 5.000e-001 s, dT_avg: 6.959e-001 s, Nc:     0, Nce:     1, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:51:20 t: 3.127561e+001, dt: 6.121708e-001, dT_cpu: 1.390e+000 s, dT_avg: 7.091e-001 s, Nc:     0, Nce:     1, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:51:25 t: 3.674518e+001, dt: 3.764543e-001, dT_cpu: 2.297e+000 s, dT_avg: 7.230e-001 s, Nc:     0, Nce:     1, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:51:31 t: 4.097025e+001, dt: 1.383583e-001, dT_cpu: 9.380e-001 s, dT_avg: 7.222e-001 s, Nc:     0, Nce:     1, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:51:37 t: 4.257998e+001, dt: 5.181153e-001, dT_cpu: 5.000e-001 s, dT_avg: 7.082e-001 s, Nc:     0, Nce:     1, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:51:42 t: 4.541529e+001, dt: 9.647970e-001, dT_cpu: 4.840e-001 s, dT_avg: 7.041e-001 s, Nc:     0, Nce:     1, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:51:47 t: 4.787541e+001, dt: 1.308822e-001, dT_cpu: 9.370e-001 s, dT_avg: 7.184e-001 s, Nc:     0, Nce:     1, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:51:53 t: 4.926876e+001, dt: 4.041105e-001, dT_cpu: 4.840e-001 s, dT_avg: 7.077e-001 s, Nc:     0, Nce:     1, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:51:58 t: 5.091876e+001, dt: 4.237107e-001, dT_cpu: 5.000e-001 s, dT_avg: 7.044e-001 s, Nc:     0, Nce:     1, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:52:04 t: 5.750748e+001, dt: 3.678585e-001, dT_cpu: 1.391e+000 s, dT_avg: 7.143e-001 s, Nc:     0, Nce:     1, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:52:10 t: 6.093108e+001, dt: 3.412361e-001, dT_cpu: 1.391e+000 s, dT_avg: 7.143e-001 s, Nc:     0, Nce:     1, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:52:15 t: 6.430123e+001, dt: 7.027424e-001, dT_cpu: 4.840e-001 s, dT_avg: 7.066e-001 s, Nc:     0, Nce:     1, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:52:22 t: 6.618968e+001, dt: 1.038172e-001, dT_cpu: 1.844e+000 s, dT_avg: 7.132e-001 s, Nc:     0, Nce:     2, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:52:28 t: 7.019842e+001, dt: 1.809126e-001, dT_cpu: 1.391e+000 s, dT_avg: 7.164e-001 s, Nc:     0, Nce:     2, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:52:33 t: 7.183612e+001, dt: 6.880684e-001, dT_cpu: 5.000e-001 s, dT_avg: 7.137e-001 s, Nc:     0, Nce:     2, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:52:39 t: 7.386578e+001, dt: 4.775562e-001, dT_cpu: 5.000e-001 s, dT_avg: 7.152e-001 s, Nc:     0, Nce:     2, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:52:44 t: 8.174410e+001, dt: 1.286762e+000, dT_cpu: 5.000e-001 s, dT_avg: 7.166e-001 s, Nc:     0, Nce:     3, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:52:49 t: 8.668440e+001, dt: 5.561950e-001, dT_cpu: 4.840e-001 s, dT_avg: 7.215e-001 s, Nc:     0, Nce:     3, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:52:55 t: 8.930756e+001, dt: 1.087756e-001, dT_cpu: 9.540e-001 s, dT_avg: 7.250e-001 s, Nc:     0, Nce:     3, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:53:00 t: 9.018601e+001, dt: 1.583955e-001, dT_cpu: 4.850e-001 s, dT_avg: 7.193e-001 s, Nc:     0, Nce:    41, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:53:06 t: 9.251876e+001, dt: 1.795562e-001, dT_cpu: 9.530e-001 s, dT_avg: 7.171e-001 s, Nc:     0, Nce:    41, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:53:11 t: 9.318327e+001, dt: 7.747127e-002, dT_cpu: 5.000e-001 s, dT_avg: 7.152e-001 s, Nc:     0, Nce:    72, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:53:17 t: 9.952223e+001, dt: 3.854600e-001, dT_cpu: 1.406e+000 s, dT_avg: 7.113e-001 s, Nc:     0, Nce:    72, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:53:23 t: 1.020066e+002, dt: 3.448456e-001, dT_cpu: 5.000e-001 s, dT_avg: 7.095e-001 s, Nc:     0, Nce:    72, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:53:28 t: 1.064614e+002, dt: 2.458853e-001, dT_cpu: 9.380e-001 s, dT_avg: 7.106e-001 s, Nc:     0, Nce:    72, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:53:33 t: 1.072167e+002, dt: 6.722348e-002, dT_cpu: 9.380e-001 s, dT_avg: 7.117e-001 s, Nc:     0, Nce:    95, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:53:38 t: 1.108216e+002, dt: 4.455080e-001, dT_cpu: 1.391e+000 s, dT_avg: 7.074e-001 s, Nc:     0, Nce:    95, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:53:45 t: 1.132723e+002, dt: 3.795869e-001, dT_cpu: 1.390e+000 s, dT_avg: 7.119e-001 s, Nc:     0, Nce:    95, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:53:50 t: 1.154531e+002, dt: 1.748192e-001, dT_cpu: 4.850e-001 s, dT_avg: 7.129e-001 s, Nc:     0, Nce:    95, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:53:55 t: 1.177721e+002, dt: 3.041007e-001, dT_cpu: 4.840e-001 s, dT_avg: 7.089e-001 s, Nc:     0, Nce:    95, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:54:00 t: 1.187814e+002, dt: 9.002790e-002, dT_cpu: 5.000e-001 s, dT_avg: 7.122e-001 s, Nc:     0, Nce:    95, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:54:06 t: 1.212605e+002, dt: 2.324523e-001, dT_cpu: 1.391e+000 s, dT_avg: 7.130e-001 s, Nc:     0, Nce:    95, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
2015-03-12 11:54:11 t: 1.285047e+002, dt: 1.396894e+000, dT_cpu: 9.370e-001 s, dT_avg: 7.094e-001 s, Nc:     0, Nce:    95, Ne:     0, Nh:     0, N :   1001(     0), N_st:     1(    0), N_gp:     0(    0), N_rp:     0(    0), N_pp:  1000(    0), N_sp:     0(    0), N_pl:     0(    0), N_tp:     0(    0)
